emotion,word
fear,धोकादायक
fear,धमकी
fear,थरथर
fear,घबराट
fear,भीती
fear,चिंतेत
fear,भेसूर
fear,थरथर कापत
fear,घाबरले
fear,असुरक्षितता
fear,भीतीने
fear,घाबरला
fear,भितीदायक
fear,दहशतवादी
fear,भयानक
fear,कंप
fear,आतंकित
surprise,अनपेक्षितपणे
surprise,वा
surprise,धक्कादायक
surprise,अचानक
surprise,आश्चर्यचकित
surprise,विस्मित करणारे
surprise,वा मध्ये
surprise,धक्का
surprise,विस्मय
surprise,विस्मित
surprise,थक्क करणारे
surprise,अकस्मात
surprise,चकित
surprise,आश्चर्यजनक
surprise,विस्मयकारक
surprise,अनपेक्षित
surprise,आश्चर्य
surprise,अरेरे
surprise,चकीत करणारे
surprise,चकित करणारे
surprise,चकीत
surprise,अरे बापरे
surprise,थक्क
disgust,तिटकारा वाटणे
disgust,नाक मुरडणे
disgust,घृणा
disgust,घाणेरडेपणा
disgust,ओशाळलेला
disgust,निकृष्ट
disgust,तिटकारा
disgust,हिणकस
disgust,अस्वच्छता
disgust,अस्वच्छ
disgust,अप्रिय
disgust,वर्ज्य
disgust,घाणेरडे
disgust,घृणास्पद
disgust,भयंकर वाईट
disgust,किळसवाणे
disgust,घाण
disgust,वाइट वाटणे
disgust,किळस
disgust,ओशाळवाणा
disgust,किळसवाणा
trust,निष्ठा
trust,भरोसा
trust,विश्वासाने
trust,विश्वासू मित्र
trust,सच्चा
trust,प्रामाणिकपणा
trust,विश्वास ठेवणे
trust,भक्कम आधार
trust,विश्वास
trust,भरोसायोग्य
trust,भक्कम
trust,मान्यताप्राप्त
trust,निष्ठावंत
trust,निष्ठेने
trust,विश्वासू
trust,विश्वासार्ह
trust,मान्यता
trust,आधार
trust,प्रामाणिक
trust,भक्कमपणे
trust,विश्वसनीय
anticipation,भविष्याच्या
anticipation,लवकरच होणार
anticipation,महत्वाकांक्षा
anticipation,प्रतीक्षेत
anticipation,स्वप्न
anticipation,आशावाद
anticipation,अपेक्षा
anticipation,आशावादी
anticipation,अपेक्षेने
anticipation,उत्सुकता
anticipation,आशा
anticipation,आशेने
anticipation,भविष्यातील
anticipation,प्रतीक्षा
anticipation,आगामी
anticipation,आग्रहाने
anticipation,पुढे पाहत
anticipation,आग्रह
anticipation,आशेचा किरण
anticipation,उत्सुक
anticipation,अपेक्षित
anticipation,लवकरच
anticipation,महत्त्वाकांक्षी
love,समर्पण
love,आवडता
love,आवडतेय
love,लाडाने
love,आवडते
love,समर्पित
love,प्रेयसी
love,स्नेह
love,आदरभाव
love,मायेचा
love,जिव्हाळ्याचा
love,प्रियकर
love,मायाळू
love,आदर
love,लाडकी
love,माया
love,प्रेमळ
love,आपुलकी
love,आदरयुक्त
love,स्नेहपूर्ण
love,लाडका
love,प्रिय
love,आपुलकीने
love,आवडतो
love,जिव्हाळा
love,आवड
love,प्रेम
pride,गर्व
pride,कृतार्थता
pride,कृतार्थ
pride,यशाचा
pride,अभिमान
pride,गौरव
pride,सन्मानीय
pride,सम्मानित
pride,यशाचा क्षण
pride,विजयाचा
pride,विजय
pride,यशाचे
pride,विजयामुळे अभिमान
pride,यशस्वी
pride,गर्वाने
pride,विजयश्री
pride,पुरस्कारप्राप्त
pride,गौरवपूर्ण
pride,सन्मान
pride,गौरवशाली
pride,विजयी
pride,गर्विष्ठ
pride,गौरवदिन
grief,जाणे
grief,वाईट
grief,वाटते
grief,जिवलग
grief,गमावले
grief,शोकग्रस्त
grief,दुख:खी
grief,शोकाकूल
grief,दुखपत
grief,हृदयविदारक
grief,वियोग
grief,रडणे
grief,मृत्यू
grief,मरण
grief,निधन
grief,गेले
grief,गेला
grief,नाही
grief,राहिला
grief,मिस
grief,आठवते
grief,आठवण
grief,विरहाचे
grief,अश्रूंनी
longing,उत्कंठा
longing,इच्छा
longing,तळमळ
longing,आसरा
longing,तहान
longing,आतुरता
longing,व्याकुळ
longing,आकांक्षा
longing,ओढ
longing,ध्यास
longing,कामना
longing,स्मरण
longing,तडफ
longing,लालसा
nostalgia,जुन्या
nostalgia,आठवणी
nostalgia,पूर्वीच्या
nostalgia,भूतकाळ
nostalgia,पूर्वी
nostalgia,मागच्या
nostalgia,दिवस
nostalgia,काळजी
nostalgia,आठवणींमध्ये
nostalgia,जुने
nostalgia,मागील
nostalgia,प्राचीन
guilt,दोष
guilt,अपराध
guilt,ग्लानी
guilt,पश्चात्ताप
guilt,पापाचे
guilt,दोषी
guilt,चूक
guilt,माफी
guilt,क्षमा
guilt,अपराधी
guilt,वाइट
guilt,केले
guilt,वागले
shame,लाज
shame,लज्जा
shame,शरम
shame,लज्जास्पद
shame,अप्रतिष्ठा
shame,बदनामी
shame,अवमान
shame,अपमान
shame,शर्मिंदा
shame,शर्मिंदगी
shame,ओशाळणे
shame,वाटली
shame,वाटते
shame,पाहिजे
relief,सुटका
relief,आराम
relief,शांती
relief,दिलासा
relief,बरे
relief,झाले
relief,विसावा
relief,मुक्त
relief,मुक्ती
relief,निवृत्ती
relief,सैरभैर
relief,स्वस्थ
gratitude,कृतज्ञ
gratitude,कृतज्ञता
gratitude,आभार
gratitude,धन्यवाद
gratitude,उपकृत
gratitude,उपकार
gratitude,कौतुक
gratitude,मान
gratitude,ऋणी
gratitude,साचल्ये
gratitude,सहाय्य
envy,मत्सर
envy,हेवा
envy,रेशा
envy,ईर्ष्या
envy,असून
envy,माझ्याकडे
envy,त्यांच्या
envy,जास्त
envy,चांगले
envy,का
jealousy,संशय
jealousy,शंका
jealousy,द्वेषभाव
jealousy,ईर्ष्यापोटी
jealousy,रेवडी
jealousy,जळत
jealousy,असुरक्षितता
boredom,कंटाळा
boredom,कंटाळवाणा
boredom,नीरस
boredom,कंटाळलो
boredom,कंटाळली
boredom,बोअर
boredom,एकसुरी
boredom,दमदाट
boredom,आळस
boredom,निष्क्रिय
confusion,गोंधळ
confusion,अस्पष्ट
confusion,संभ्रम
confusion,चकरा
confusion,विचलित
confusion,घोटाळा
confusion,ढग
confusion,अनिश्चित
confusion,काय
confusion,समजत
confusion,नाही
confusion,असून
awe,विस्मयकारक
awe,अद्भुत
awe,चमत्कारिक
awe,भलामोठा
awe,आश्चर्यचकीत
awe,अलौकिक
awe,दैवी
awe,भव्यपणा
awe,प्रभावशाली
hope,आशा
hope,अपेक्षा
hope,आशावादी
hope,आशावाद
hope,भरवसा
hope,प्रतीक्षा
hope,शक्यता
hope,संधी
hope,होणार
hope,मिळेल
hope,होईल
hope,होऊ
hope,आशाभाव
despair,निराशा
despair,हताश
despair,हताशा
despair,निराश
despair,नाउमेद
despair,मनस्ताप
despair,व्यर्थ
despair,असहाय
despair,नाकाम
despair,निष्फळ
regret,पश्चात्ताप
regret,खेद
regret,क्षमा
regret,खेदाने
regret,माफी
regret,चूक
regret,असते
regret,केले
regret,तर
regret,बरे
optimism,आशावाद
optimism,आशावादी
optimism,सकारात्मक
optimism,उत्साही
optimism,उज्ज्वल
optimism,उत्कृष्ट
optimism,शुभ
optimism,संभव
optimism,होणारे
pessimism,नकारात्मक
pessimism,निराशावाद
pessimism,निराशावादी
pessimism,वाईट
pessimism,होईल
pessimism,काळा
pessimism,अंधार
pessimism,नाही
pessimism,होणार
contentment,संतुष्ट
contentment,संतोष
contentment,तृप्त
contentment,शांत
contentment,पुरेसे
contentment,समाधान
contentment,आनंदमय
excitement,उत्साह
excitement,उत्तेजना
excitement,रोमांच
excitement,जोश
excitement,चढाओढ
excitement,उत्सुकता
excitement,थरार
excitement,उन्माद
calmness,शांत
calmness,शांती
calmness,स्थिर
calmness,निर्मळ
calmness,शांतपणे
calmness,संयम
calmness,धैर्य
calmness,ठरावीक
anger,कोप
anger,रागवणारे
anger,चिडलेली
anger,कडवट
anger,भडकवणे
sadness,विषाद
sadness,म्हातारपण
sadness,अकेलापन
sadness,असह्य
sadness,मनाला
sadness,व्यथित
sadness,हृदय
joy,हृदय
joy,खुशी
joy,मस्ती
joy,आनंदाने
joy,आनंदी
joy,हास्य
joy,हसणे
joy,आवडते
joy,मजेत
joy,खुश
joy,प्रसन्नता
joy,छान
joy,आवडले
joy,आवडला
joy,आवडली
joy,आवड
joy,मस्त
joy,जबरदस्त
joy,मजा
fear,घाबरत
fear,भीतीची
fear,भयभीतपणा
fear,धास्तीने
fear,घाबरून
fear,भयाने
fear,घाबरलो
fear,घाबरली
fear,घाबरले
fear,भयंकर
fear,धास्ती
fear,भीतीदायक
surprise,अचंबा
surprise,आश्चर्यचकित
surprise,धक्कादायक
surprise,अनपेक्षीत
surprise,अचानक
sadness,दुखावणे
sadness,दुखणे
sadness,रडू
sadness,अश्रू
sadness,विरक्त
sadness,उदास
sadness,निराश
